entity1	entity2	pred_class
15492776.s324.e1	15492776.s324.e2	norelation
15492776.s324.e1	15492776.s324.e3	norelation
15492776.s348.e1	15492776.s348.e2	norelation
15492776.s348.e2	15492776.s348.e4	effect
15492776.s348.e2	15492776.s348.e3	effect
15492776.s348.e1	15492776.s348.e4	effect
15492776.s348.e1	15492776.s348.e3	effect
15492776.s348.e3	15492776.s348.e4	effect
15676071.s106.e1	15676071.s106.e2	norelation
15676071.s210.e1	15676071.s210.e2	norelation
15676071.s212.e1	15676071.s212.e2	norelation
15676071.s217.e1	15676071.s217.e2	norelation
15676071.s221.e1	15676071.s221.e3	norelation
15676071.s221.e1	15676071.s221.e2	norelation
15676071.s221.e2	15676071.s221.e3	advise
17244351.s140.e1	17244351.s140.e2	norelation
17447844.s33.e1	17447844.s33.e2	norelation
17447844.s234.e1	17447844.s234.e3	norelation
17447844.s234.e1	17447844.s234.e2	norelation
17447844.s234.e2	17447844.s234.e3	norelation
17447844.s278.e1	17447844.s278.e3	norelation
17447844.s278.e2	17447844.s278.e3	mechanism
17447844.s278.e1	17447844.s278.e2	norelation
17447844.s286.e1	17447844.s286.e2	norelation
17447844.s314.e1	17447844.s314.e2	effect
16121256.s1.e1	16121256.s1.e2	effect
16121256.s64.e1	16121256.s64.e2	norelation
16121256.s64.e1	16121256.s64.e4	norelation
16121256.s64.e1	16121256.s64.e3	norelation
16121256.s64.e2	16121256.s64.e4	norelation
16121256.s64.e2	16121256.s64.e3	norelation
16121256.s64.e3	16121256.s64.e4	norelation
16121256.s65.e1	16121256.s65.e2	norelation
16121256.s66.e1	16121256.s66.e2	norelation
16121256.s81.e1	16121256.s81.e2	norelation
16121256.s89.e1	16121256.s89.e2	norelation
16121256.s89.e2	16121256.s89.e3	norelation
16121256.s89.e1	16121256.s89.e3	norelation
16121256.s92.e1	16121256.s92.e2	norelation
16121256.s92.e2	16121256.s92.e3	norelation
16121256.s92.e1	16121256.s92.e3	norelation
16121256.s126.e1	16121256.s126.e2	norelation
16121256.s162.e3	16121256.s162.e8	advise
16121256.s162.e3	16121256.s162.e5	advise
16121256.s162.e3	16121256.s162.e6	advise
16121256.s162.e3	16121256.s162.e4	norelation
16121256.s162.e2	16121256.s162.e3	norelation
16121256.s162.e3	16121256.s162.e7	advise
16121256.s162.e1	16121256.s162.e3	norelation
16121256.s162.e5	16121256.s162.e8	norelation
16121256.s162.e6	16121256.s162.e8	norelation
16121256.s162.e4	16121256.s162.e8	norelation
16121256.s162.e2	16121256.s162.e8	advise
16121256.s162.e7	16121256.s162.e8	norelation
16121256.s162.e1	16121256.s162.e8	advise
16121256.s162.e5	16121256.s162.e6	norelation
16121256.s162.e4	16121256.s162.e5	norelation
16121256.s162.e2	16121256.s162.e5	advise
16121256.s162.e5	16121256.s162.e7	norelation
16121256.s162.e1	16121256.s162.e5	advise
16121256.s162.e4	16121256.s162.e6	norelation
16121256.s162.e2	16121256.s162.e6	advise
16121256.s162.e6	16121256.s162.e7	norelation
16121256.s162.e1	16121256.s162.e6	advise
16121256.s162.e2	16121256.s162.e4	norelation
16121256.s162.e4	16121256.s162.e7	norelation
16121256.s162.e1	16121256.s162.e4	norelation
16121256.s162.e2	16121256.s162.e7	advise
16121256.s162.e1	16121256.s162.e7	advise
16121256.s166.e3	16121256.s166.e6	norelation
16121256.s166.e2	16121256.s166.e3	effect
16121256.s166.e1	16121256.s166.e3	norelation
16121256.s166.e3	16121256.s166.e5	norelation
